ZONA, NUMERACION_INICIAL, NUMERACION_FINAL, OCUPACION, MODALIDAD, RAZON_SOCIAL, FECHA_ASIGNACION
4,4111800000,4111809999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
2,2881730000,2881739999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
2,2881740000,2881749999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6251980000,6251989999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414115000,3414119999,5000,CPP,"RADIOMOVIL DIPSA, S.A. DE C.V.",12/02/2001,
6,6251990000,6251999999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
5,5587524000,5587525999,2000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7353665000,7353669999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7353670000,7353679999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7353680000,7353684999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7776650000,7776659999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7776660000,7776669999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6675483000,6675489999,7000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414120000,3414128063,8064,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",31/12/1995,
6,6675500000,6675509999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6675510000,6675512999,3000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6392216000,6392219999,4000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
