clave_metropoli,tipo,nombre,clave_entidad,entidad,clave_municipio,clave_compuesta_municipio,municipio,centrales_conurbacion_fisica,centrales_integracion_funcional,centrales_capital_200khab,centrales_0100khab,centrales_50khab,exteriores_integracion_funcional,exteriores_continuidad_geografica,entidad_etq
01.1.01,Zona metropolitana,Aguascalientes,1,Aguascalientes,1,1001,Aguascalientes,True,False,False,True,False,False,False,Aguascalientes
01.1.01,Zona metropolitana,Aguascalientes,1,Aguascalientes,5,1005,Jesús María,True,False,False,True,False,False,False,Aguascalientes
01.1.01,Zona metropolitana,Aguascalientes,1,Aguascalientes,11,1011,San Francisco de los Romo,False,False,False,False,False,True,False,Aguascalientes
02.1.01,Zona metropolitana,Tijuana,2,Baja California,4,2004,Tijuana,True,False,False,True,False,False,False,Baja California
02.1.01,Zona metropolitana,Tijuana,2,Baja California,5,2005,Playas de Rosarito,True,False,False,True,False,False,False,Baja California
02.2.02,Metrópoli municipal,Ensenada,2,Baja California,1,2001,Ensenada,False,False,True,False,False,False,False,Baja California
02.2.03,Metrópoli municipal,Mexicali,2,Baja California,2,2002,Mexicali,False,False,True,False,False,False,False,Baja California
03.2.01,Metrópoli municipal,La Paz,3,Baja California Sur,3,3003,La Paz,False,False,True,False,False,False,False,Baja California Sur
03.2.02,Metrópoli municipal,Los Cabos,3,Baja California Sur,8,3008,Los Cabos,False,False,True,False,False,False,False,Baja California Sur
04.2.01,Metrópoli municipal,Campeche,4,Campeche,2,4002,Campeche,False,False,True,False,False,False,False,Campeche
05.1.01,Zona metropolitana,La Laguna,5,Coahuila de Zaragoza,17,5017,Matamoros,True,False,False,True,False,False,False,Coahuila
05.1.01,Zona metropolitana,La Laguna,5,Coahuila de Zaragoza,35,5035,Torreón,True,False,False,True,False,False,False,Coahuila
05.1.01,Zona metropolitana,La Laguna,10,Durango,7,10007,Gómez Palacio,True,False,False,True,False,False,False,Durango
05.1.01,Zona metropolitana,La Laguna,10,Durango,12,10012,Lerdo,True,False,False,True,False,False,False,Durango
05.1.02,Zona metropolitana,Monclova-Frontera,5,Coahuila de Zaragoza,6,5006,Castaños,True,False,False,True,False,False,False,Coahuila
05.1.02,Zona metropolitana,Monclova-Frontera,5,Coahuila de Zaragoza,10,5010,Frontera,True,False,False,True,False,False,False,Coahuila
05.1.02,Zona metropolitana,Monclova-Frontera,5,Coahuila de Zaragoza,18,5018,Monclova,True,False,False,True,False,False,False,Coahuila
05.1.02,Zona metropolitana,Monclova-Frontera,5,Coahuila de Zaragoza,31,5031,San Buenaventura,False,False,False,False,False,True,False,Coahuila
05.1.03,Zona metropolitana,Piedras Negras,5,Coahuila de Zaragoza,22,5022,Nava,True,False,False,True,False,False,False,Coahuila
05.1.03,Zona metropolitana,Piedras Negras,5,Coahuila de Zaragoza,25,5025,Piedras Negras,True,False,False,True,False,False,False,Coahuila
05.1.04,Zona metropolitana,Saltillo,5,Coahuila de Zaragoza,4,5004,Arteaga,True,False,False,True,False,False,False,Coahuila
05.1.04,Zona metropolitana,Saltillo,5,Coahuila de Zaragoza,27,5027,Ramos Arizpe,True,False,False,True,False,False,False,Coahuila
05.1.04,Zona metropolitana,Saltillo,5,Coahuila de Zaragoza,30,5030,Saltillo,True,False,False,True,False,False,False,Coahuila
05.3.05,Zona conurbada,Sabinas,5,Coahuila de Zaragoza,28,5028,Sabinas,False,True,False,False,True,False,False,Coahuila
